ID,Class
6284,H
6285,E
6286,A
6287,d
6288,E
6289,C
6290,0
6291,a
6292,S
6293,H
6294,N
6295,R
6296,k
6297,H
6298,e
6299,5
6300,A
6301,R
6302,X
6303,Y
6304,M
6305,r
6306,I
6307,a
6308,R
6309,S
6310,D
6311,D
6312,n
6313,F
6314,A
6315,W
6316,e
6317,v
6318,u
6319,Y
6320,L
6321,h
6322,0
6323,I
6324,W
6325,l
6326,A
6327,O
6328,R
6329,1
6330,O
6331,A
6332,I
6333,v
6334,H
6335,E
6336,i
6337,R
6338,N
6339,T
6340,h
6341,r
6342,A
6343,R
6344,0
6345,e
6346,E
6347,0
6348,t
6349,E
6350,C
6351,p
6352,G
6353,I
6354,0
6355,L
6356,D
6357,G
6358,r
6359,N
6360,A
6361,W
6362,i
6363,N
6364,N
6365,M
6366,P
6367,e
6368,n
6369,I
6370,y
6371,A
6372,N
6373,B
6374,E
6375,X
6376,E
6377,A
6378,c
6379,S
6380,T
6381,e
6382,o
6383,E
6384,I
6385,e
6386,3
6387,A
6388,n
6389,E
6390,A
6391,s
6392,T
6393,i
6394,1
6395,E
6396,I
6397,I
6398,e
6399,A
6400,l
6401,S
6402,O
6403,E
6404,N
6405,V
6406,O
6407,M
6408,1
6409,s
6410,N
6411,C
6412,A
6413,O
6414,R
6415,c
6416,N
6417,o
6418,F
6419,h
6420,R
6421,w
6422,O
6423,N
6424,S
6425,i
6426,O
6427,A
6428,n
6429,D
6430,D
6431,D
6432,O
6433,S
6434,S
6435,S
6436,l
6437,T
6438,L
6439,e
6440,S
6441,O
6442,r
6443,d
6444,s
6445,I
6446,r
6447,S
6448,N
6449,A
6450,A
6451,L
6452,e
6453,S
6454,R
6455,C
6456,R
6457,R
6458,T
6459,T
6460,H
6461,N
6462,A
6463,d
6464,u
6465,O
6466,M
6467,C
6468,A
6469,A
6470,u
6471,R
6472,A
6473,a
6474,T
6475,N
6476,A
6477,H
6478,O
6479,A
6480,X
6481,I
6482,E
6483,T
6484,D
6485,N
6486,r
6487,K
6488,A
6489,P
6490,O
6491,O
6492,P
6493,0
6494,Y
6495,k
6496,E
6497,U
6498,N
6499,U
6500,e
6501,w
6502,e
6503,d
6504,A
6505,y
6506,t
6507,I
6508,e
6509,E
6510,N
6511,o
6512,S
6513,I
6514,M
6515,a
6516,H
6517,L
6518,A
6519,N
6520,O
6521,e
6522,h
6523,J
6524,S
6525,L
6526,E
6527,t
6528,O
6529,h
6530,r
6531,O
6532,M
6533,s
6534,a
6535,O
6536,e
6537,R
6538,I
6539,N
6540,e
6541,O
6542,N
6543,E
6544,O
6545,H
6546,r
6547,l
6548,M
6549,I
6550,I
6551,T
6552,N
6553,M
6554,e
6555,I
6556,N
6557,o
6558,I
6559,I
6560,F
6561,B
6562,O
6563,o
6564,0
6565,I
6566,s
6567,I
6568,I
6569,S
6570,F
6571,O
6572,0
6573,N
6574,s
6575,0
6576,R
6577,e
6578,0
6579,R
6580,A
6581,X
6582,R
6583,0
6584,e
6585,T
6586,I
6587,H
6588,C
6589,o
6590,B
6591,E
6592,I
6593,a
6594,e
6595,e
6596,J
6597,o
6598,t
6599,I
6600,I
6601,o
6602,P
6603,R
6604,V
6605,E
6606,L
6607,r
6608,a
6609,T
6610,B
6611,O
6612,O
6613,R
6614,O
6615,c
6616,D
6617,n
6618,M
6619,O
6620,R
6621,U
6622,C
6623,O
6624,L
6625,n
6626,G
6627,P
6628,O
6629,E
6630,K
6631,O
6632,T
6633,O
6634,P
6635,D
6636,o
6637,0
6638,T
6639,I
6640,C
6641,T
6642,P
6643,O
6644,s
6645,D
6646,i
6647,C
6648,O
6649,u
6650,P
6651,e
6652,R
6653,O
6654,N
6655,E
6656,M
6657,P
6658,R
6659,I
6660,C
6661,E
6662,L
6663,R
6664,E
6665,E
6666,R
6667,0
6668,A
6669,l
6670,I
6671,s
6672,v
6673,O
6674,R
6675,P
6676,S
6677,a
6678,P
6679,I
6680,L
6681,T
6682,E
6683,L
6684,A
6685,U
6686,h
6687,I
6688,a
6689,L
6690,A
6691,s
6692,T
6693,I
6694,M
6695,N
6696,B
6697,E
6698,r
6699,I
6700,C
6701,O
6702,K
6703,I
6704,D
6705,F
6706,M
6707,E
6708,I
6709,p
6710,l
6711,O
6712,n
6713,T
6714,o
6715,C
6716,A
6717,s
6718,4
6719,R
6720,V
6721,S
6722,R
6723,M
6724,n
6725,M
6726,T
6727,N
6728,E
6729,A
6730,X
6731,w
6732,T
6733,C
6734,L
6735,l
6736,a
6737,P
6738,R
6739,n
6740,E
6741,J
6742,T
6743,O
6744,A
6745,E
6746,R
6747,N
6748,a
6749,N
6750,I
6751,I
6752,t
6753,D
6754,E
6755,u
6756,S
6757,i
6758,R
6759,A
6760,T
6761,e
6762,8
6763,e
6764,u
6765,S
6766,I
6767,u
6768,C
6769,o
6770,A
6771,o
6772,y
6773,R
6774,V
6775,T
6776,O
6777,R
6778,a
6779,0
6780,C
6781,D
6782,O
6783,A
6784,T
6785,C
6786,t
6787,T
6788,S
6789,a
6790,0
6791,2
6792,R
6793,O
6794,M
6795,T
6796,a
6797,A
6798,D
6799,E
6800,N
6801,e
6802,I
6803,A
6804,A
6805,O
6806,I
6807,O
6808,C
6809,m
6810,D
6811,H
6812,V
6813,S
6814,7
6815,D
6816,A
6817,S
6818,t
6819,R
6820,A
6821,T
6822,S
6823,E
6824,L
6825,R
6826,s
6827,N
6828,N
6829,F
6830,R
6831,a
6832,C
6833,E
6834,S
6835,h
6836,A
6837,A
6838,A
6839,r
6840,I
6841,I
6842,a
6843,r
6844,T
6845,o
6846,R
6847,O
6848,t
6849,l
6850,B
6851,O
6852,l
6853,E
6854,E
6855,n
6856,O
6857,I
6858,R
6859,k
6860,M
6861,R
6862,S
6863,1
6864,E
6865,I
6866,f
6867,A
6868,T
6869,A
6870,I
6871,L
6872,7
6873,O
6874,3
6875,I
6876,I
6877,N
6878,L
6879,I
6880,R
6881,U
6882,0
6883,T
6884,L
6885,L
6886,I
6887,A
6888,A
6889,E
6890,0
6891,S
6892,l
6893,T
6894,e
6895,u
6896,1
6897,S
6898,r
6899,A
6900,I
6901,U
6902,O
6903,q
6904,s
6905,C
6906,I
6907,B
6908,I
6909,l
6910,L
6911,I
6912,R
6913,D
6914,I
6915,o
6916,1
6917,e
6918,E
6919,T
6920,R
6921,V
6922,M
6923,D
6924,o
6925,S
6926,F
6927,e
6928,E
6929,D
6930,R
6931,N
6932,O
6933,A
6934,r
6935,L
6936,o
6937,h
6938,r
6939,A
6940,D
6941,A
6942,k
6943,r
6944,D
6945,O
6946,N
6947,l
6948,T
6949,1
6950,L
6951,V
6952,a
6953,D
6954,n
6955,I
6956,e
6957,I
6958,H
6959,0
6960,O
6961,E
6962,C
6963,E
6964,O
6965,A
6966,A
6967,N
6968,v
6969,V
6970,I
6971,I
6972,O
6973,L
6974,T
6975,E
6976,e
6977,N
6978,d
6979,O
6980,l
6981,O
6982,B
6983,A
6984,B
6985,D
6986,U
6987,P
6988,A
6989,P
6990,R
6991,1
6992,e
6993,T
6994,S
6995,N
6996,l
6997,a
6998,I
6999,L
7000,A
7001,A
7002,I
7003,W
7004,R
7005,i
7006,P
7007,m
7008,E
7009,1
7010,E
7011,N
7012,O
7013,R
7014,O
7015,I
7016,R
7017,d
7018,L
7019,i
7020,A
7021,e
7022,N
7023,0
7024,R
7025,w
7026,P
7027,u
7028,a
7029,Y
7030,C
7031,p
7032,t
7033,E
7034,o
7035,A
7036,A
7037,E
7038,O
7039,1
7040,A
7041,P
7042,0
7043,y
7044,E
7045,E
7046,O
7047,P
7048,n
7049,I
7050,I
7051,O
7052,I
7053,h
7054,A
7055,E
7056,2
7057,n
7058,I
7059,u
7060,I
7061,R
7062,T
7063,o
7064,N
7065,O
7066,s
7067,T
7068,i
7069,O
7070,F
7071,R
7072,7
7073,E
7074,I
7075,a
7076,R
7077,o
7078,P
7079,6
7080,M
7081,C
7082,4
7083,O
7084,P
7085,e
7086,D
7087,N
7088,I
7089,R
7090,L
7091,R
7092,L
7093,R
7094,r
7095,D
7096,I
7097,O
7098,E
7099,R
7100,T
7101,R
7102,o
7103,L
7104,I
7105,O
7106,L
7107,L
7108,O
7109,M
7110,I
7111,A
7112,Y
7113,X
7114,e
7115,I
7116,D
7117,E
7118,A
7119,S
7120,I
7121,R
7122,n
7123,a
7124,B
7125,6
7126,N
7127,e
7128,A
7129,B
7130,A
7131,O
7132,n
7133,W
7134,N
7135,c
7136,H
7137,a
7138,t
7139,E
7140,i
7141,T
7142,M
7143,R
7144,A
7145,t
7146,i
7147,e
7148,W
7149,o
7150,T
7151,I
7152,E
7153,U
7154,O
7155,A
7156,O
7157,e
7158,n
7159,n
7160,E
7161,F
7162,o
7163,N
7164,M
7165,A
7166,L
7167,X
7168,F
7169,H
7170,I
7171,O
7172,R
7173,C
7174,t
7175,S
7176,t
7177,N
7178,A
7179,V
7180,h
7181,u
7182,M
7183,R
7184,u
7185,7
7186,A
7187,N
7188,T
7189,V
7190,h
7191,H
7192,A
7193,i
7194,1
7195,O
7196,O
7197,B
7198,R
7199,c
7200,N
7201,l
7202,O
7203,O
7204,D
7205,e
7206,o
7207,A
7208,N
7209,R
7210,T
7211,O
7212,O
7213,I
7214,A
7215,A
7216,t
7217,t
7218,T
7219,i
7220,C
7221,A
7222,C
7223,R
7224,W
7225,r
7226,S
7227,O
7228,A
7229,O
7230,E
7231,c
7232,4
7233,R
7234,0
7235,o
7236,O
7237,S
7238,O
7239,h
7240,R
7241,L
7242,f
7243,T
7244,M
7245,N
7246,I
7247,o
7248,a
7249,o
7250,U
7251,0
7252,E
7253,E
7254,a
7255,A
7256,E
7257,O
7258,I
7259,A
7260,t
7261,I
7262,O
7263,R
7264,e
7265,O
7266,C
7267,S
7268,O
7269,e
7270,E
7271,r
7272,O
7273,R
7274,S
7275,I
7276,I
7277,T
7278,R
7279,L
7280,t
7281,n
7282,I
7283,T
7284,l
7285,r
7286,E
7287,P
7288,T
7289,B
7290,O
7291,E
7292,s
7293,I
7294,B
7295,O
7296,D
7297,a
7298,R
7299,A
7300,O
7301,i
7302,R
7303,O
7304,I
7305,b
7306,E
7307,O
7308,T
7309,T
7310,a
7311,E
7312,F
7313,A
7314,A
7315,B
7316,I
7317,3
7318,N
7319,n
7320,O
7321,u
7322,T
7323,O
7324,R
7325,l
7326,O
7327,R
7328,e
7329,T
7330,R
7331,R
7332,P
7333,A
7334,A
7335,M
7336,e
7337,R
7338,H
7339,1
7340,I
7341,N
7342,e
7343,E
7344,D
7345,R
7346,A
7347,O
7348,p
7349,M
7350,A
7351,e
7352,H
7353,D
7354,u
7355,P
7356,0
7357,T
7358,F
7359,e
7360,i
7361,r
7362,P
7363,A
7364,X
7365,C
7366,T
7367,A
7368,S
7369,E
7370,A
7371,r
7372,O
7373,X
7374,H
7375,E
7376,S
7377,U
7378,I
7379,4
7380,F
7381,X
7382,S
7383,I
7384,o
7385,I
7386,G
7387,a
7388,D
7389,l
7390,E
7391,1
7392,T
7393,n
7394,R
7395,U
7396,D
7397,L
7398,O
7399,D
7400,I
7401,E
7402,R
7403,N
7404,M
7405,n
7406,m
7407,E
7408,L
7409,O
7410,S
7411,N
7412,T
7413,r
7414,T
7415,A
7416,i
7417,L
7418,A
7419,0
7420,E
7421,I
7422,C
7423,O
7424,7
7425,K
7426,N
7427,e
7428,I
7429,M
7430,n
7431,I
7432,I
7433,A
7434,e
7435,F
7436,R
7437,e
7438,o
7439,S
7440,e
7441,B
7442,A
7443,D
7444,E
7445,S
7446,R
7447,J
7448,C
7449,N
7450,E
7451,L
7452,D
7453,P
7454,s
7455,r
7456,R
7457,O
7458,M
7459,I
7460,S
7461,N
7462,r
7463,I
7464,I
7465,T
7466,O
7467,U
7468,A
7469,n
7470,Q
7471,M
7472,N
7473,I
7474,P
7475,I
7476,P
7477,R
7478,S
7479,I
7480,B
7481,C
7482,a
7483,E
7484,L
7485,A
7486,I
7487,L
7488,o
7489,E
7490,P
7491,A
7492,W
7493,x
7494,I
7495,I
7496,X
7497,C
7498,a
7499,I
7500,e
7501,O
7502,P
7503,U
7504,D
7505,Y
7506,R
7507,t
7508,O
7509,T
7510,I
7511,O
7512,R
7513,S
7514,J
7515,S
7516,K
7517,I
7518,E
7519,N
7520,E
7521,a
7522,E
7523,A
7524,I
7525,E
7526,T
7527,C
7528,F
7529,T
7530,m
7531,H
7532,D
7533,A
7534,e
7535,n
7536,3
7537,R
7538,f
7539,R
7540,l
7541,l
7542,R
7543,P
7544,L
7545,O
7546,u
7547,R
7548,c
7549,O
7550,A
7551,A
7552,A
7553,A
7554,a
7555,N
7556,V
7557,N
7558,g
7559,I
7560,M
7561,O
7562,O
7563,I
7564,T
7565,h
7566,E
7567,9
7568,R
7569,n
7570,N
7571,p
7572,r
7573,a
7574,N
7575,e
7576,R
7577,I
7578,o
7579,a
7580,n
7581,R
7582,D
7583,l
7584,R
7585,H
7586,T
7587,A
7588,F
7589,w
7590,S
7591,P
7592,S
7593,T
7594,M
7595,C
7596,D
7597,H
7598,I
7599,E
7600,I
7601,i
7602,O
7603,N
7604,A
7605,R
7606,R
7607,a
7608,B
7609,R
7610,t
7611,D
7612,D
7613,O
7614,I
7615,n
7616,A
7617,E
7618,i
7619,S
7620,r
7621,M
7622,T
7623,g
7624,A
7625,9
7626,M
7627,O
7628,O
7629,e
7630,n
7631,u
7632,l
7633,A
7634,n
7635,o
7636,X
7637,P
7638,0
7639,9
7640,M
7641,E
7642,I
7643,I
7644,0
7645,L
7646,t
7647,P
7648,A
7649,e
7650,E
7651,H
7652,I
7653,A
7654,O
7655,6
7656,l
7657,E
7658,A
7659,L
7660,M
7661,E
7662,R
7663,p
7664,Y
7665,L
7666,e
7667,A
7668,O
7669,f
7670,N
7671,e
7672,O
7673,I
7674,V
7675,T
7676,a
7677,e
7678,O
7679,I
7680,T
7681,A
7682,a
7683,s
7684,e
7685,D
7686,E
7687,I
7688,E
7689,u
7690,0
7691,R
7692,H
7693,E
7694,i
7695,r
7696,H
7697,M
7698,i
7699,A
7700,U
7701,E
7702,N
7703,P
7704,E
7705,R
7706,I
7707,N
7708,e
7709,u
7710,e
7711,U
7712,P
7713,e
7714,A
