ID,Class
6284,4
6285,A
6286,R
6287,D
6288,M
6289,t
6290,O
6291,R
6292,a
6293,H
6294,N
6295,E
6296,T
6297,H
6298,X
6299,S
6300,A
6301,C
6302,K
6303,S
6304,Y
6305,D
6306,A
6307,a
6308,R
6309,M
6310,R
6311,O
6312,0
6313,D
6314,A
6315,W
6316,e
6317,v
6318,6
6319,o
6320,L
6321,n
6322,l
6323,T
6324,W
6325,I
6326,9
6327,m
6328,R
6329,l
6330,O
6331,A
6332,i
6333,v
6334,C
6335,E
6336,i
6337,E
6338,N
6339,O
6340,o
6341,S
6342,I
6343,R
6344,O
6345,y
6346,F
6347,0
6348,l
6349,r
6350,o
6351,s
6352,G
6353,A
6354,D
6355,w
6356,O
6357,4
6358,r
6359,N
6360,0
6361,N
6362,T
6363,R
6364,R
6365,M
6366,a
6367,C
6368,R
6369,r
6370,F
6371,k
6372,N
6373,B
6374,R
6375,T
6376,L
6377,A
6378,H
6379,s
6380,T
6381,C
6382,R
6383,E
6384,3
6385,T
6386,5
6387,S
6388,n
6389,o
6390,A
6391,E
6392,T
6393,C
6394,A
6395,P
6396,4
6397,E
6398,S
6399,A
6400,E
6401,S
6402,M
6403,E
6404,z
6405,M
6406,T
6407,T
6408,I
6409,R
6410,N
6411,M
6412,l
6413,O
6414,R
6415,G
6416,N
6417,D
6418,P
6419,P
6420,S
6421,h
6422,O
6423,N
6424,T
6425,A
6426,T
6427,A
6428,A
6429,O
6430,T
6431,9
6432,O
6433,E
6434,S
6435,0
6436,I
6437,T
6438,e
6439,A
6440,O
6441,D
6442,f
6443,R
6444,s
6445,I
6446,E
6447,A
6448,N
6449,A
6450,I
6451,L
6452,h
6453,o
6454,R
6455,C
6456,K
6457,R
6458,j
6459,T
6460,O
6461,H
6462,9
6463,G
6464,P
6465,c
6466,E
6467,C
6468,A
6469,A
6470,u
6471,H
6472,A
6473,I
6474,E
6475,N
6476,A
6477,H
6478,P
6479,A
6480,X
6481,L
6482,I
6483,T
6484,D
6485,R
6486,h
6487,E
6488,M
6489,D
6490,E
6491,O
6492,P
6493,4
6494,V
6495,R
6496,B
6497,E
6498,P
6499,n
6500,D
6501,t
6502,H
6503,O
6504,A
6505,v
6506,S
6507,I
6508,O
6509,E
6510,N
6511,S
6512,i
6513,E
6514,M
6515,A
6516,N
6517,4
6518,E
6519,N
6520,g
6521,C
6522,R
6523,X
6524,E
6525,L
6526,E
6527,I
6528,O
6529,Z
6530,m
6531,V
6532,I
6533,R
6534,a
6535,C
6536,i
6537,R
6538,C
6539,N
6540,M
6541,O
6542,X
6543,E
6544,O
6545,M
6546,d
6547,l
6548,A
6549,j
6550,A
6551,s
6552,N
6553,m
6554,o
6555,I
6556,H
6557,O
6558,i
6559,T
6560,r
6561,a
6562,O
6563,e
6564,G
6565,J
6566,N
6567,t
6568,L
6569,O
6570,P
6571,O
6572,O
6573,N
6574,s
6575,D
6576,H
6577,A
6578,D
6579,e
6580,A
6581,N
6582,O
6583,A
6584,O
6585,T
6586,I
6587,0
6588,C
6589,B
6590,D
6591,E
6592,I
6593,L
6594,R
6595,e
6596,E
6597,2
6598,I
6599,A
6600,I
6601,D
6602,C
6603,L
6604,O
6605,l
6606,L
6607,2
6608,N
6609,T
6610,N
6611,i
6612,E
6613,A
6614,o
6615,C
6616,R
6617,P
6618,M
6619,O
6620,R
6621,0
6622,C
6623,O
6624,E
6625,n
6626,e
6627,P
6628,O
6629,A
6630,R
6631,O
6632,T
6633,R
6634,r
6635,B
6636,V
6637,d
6638,T
6639,R
6640,C
6641,T
6642,P
6643,0
6644,N
6645,a
6646,i
6647,C
6648,r
6649,D
6650,P
6651,I
6652,y
6653,C
6654,N
6655,o
6656,N
6657,P
6658,K
6659,a
6660,O
6661,E
6662,d
6663,R
6664,2
6665,I
6666,R
6667,2
6668,A
6669,I
6670,i
6671,b
6672,t
6673,O
6674,E
6675,P
6676,N
6677,n
6678,P
6679,I
6680,L
6681,C
6682,E
6683,L
6684,A
6685,O
6686,I
6687,I
6688,1
6689,L
6690,A
6691,S
6692,T
6693,A
6694,p
6695,B
6696,2
6697,E
6698,P
6699,L
6700,R
6701,O
6702,H
6703,G
6704,D
6705,W
6706,H
6707,D
6708,I
6709,4
6710,t
6711,O
6712,0
6713,V
6714,o
6715,R
6716,A
6717,A
6718,1
6719,R
6720,5
6721,S
6722,1
6723,M
6724,O
6725,F
6726,T
6727,N
6728,E
6729,C
6730,R
6731,A
6732,5
6733,D
6734,E
6735,I
6736,c
6737,D
6738,O
6739,D
6740,E
6741,O
6742,T
6743,O
6744,a
6745,L
6746,R
6747,N
6748,a
6749,D
6750,T
6751,f
6752,E
6753,n
6754,N
6755,A
6756,e
6757,Y
6758,n
6759,e
6760,T
6761,E
6762,N
6763,N
6764,o
6765,S
6766,A
6767,V
6768,B
6769,n
6770,c
6771,3
6772,A
6773,e
6774,D
6775,T
6776,m
6777,I
6778,O
6779,0
6780,C
6781,a
6782,D
6783,d
6784,I
6785,O
6786,t
6787,T
6788,o
6789,A
6790,o
6791,i
6792,N
6793,O
6794,J
6795,T
6796,B
6797,A
6798,D
6799,T
6800,N
6801,t
6802,O
6803,A
6804,A
6805,E
6806,f
6807,P
6808,C
6809,H
6810,J
6811,A
6812,1
6813,S
6814,T
6815,n
6816,A
6817,R
6818,f
6819,r
6820,A
6821,S
6822,S
6823,s
6824,o
6825,R
6826,s
6827,N
6828,N
6829,A
6830,R
6831,5
6832,C
6833,E
6834,S
6835,C
6836,Y
6837,T
6838,i
6839,a
6840,I
6841,T
6842,a
6843,r
6844,C
6845,d
6846,r
6847,o
6848,Z
6849,a
6850,h
6851,O
6852,u
6853,2
6854,E
6855,o
6856,1
6857,C
6858,e
6859,T
6860,m
6861,N
6862,E
6863,T
6864,V
6865,t
6866,E
6867,K
6868,N
6869,N
6870,L
6871,C
6872,T
6873,O
6874,S
6875,K
6876,I
6877,0
6878,S
6879,I
6880,a
6881,E
6882,D
6883,Y
6884,L
6885,H
6886,I
6887,A
6888,n
6889,E
6890,a
6891,S
6892,I
6893,l
6894,K
6895,T
6896,i
6897,T
6898,F
6899,A
6900,S
6901,O
6902,G
6903,A
6904,S
6905,R
6906,I
6907,R
6908,R
6909,i
6910,L
6911,f
6912,A
6913,A
6914,I
6915,D
6916,s
6917,o
6918,S
6919,T
6920,5
6921,V
6922,m
6923,q
6924,p
6925,2
6926,P
6927,R
6928,E
6929,E
6930,R
6931,M
6932,D
6933,O
6934,n
6935,L
6936,o
6937,H
6938,e
6939,A
6940,D
6941,A
6942,N
6943,c
6944,O
6945,C
6946,N
6947,I
6948,T
6949,1
6950,L
6951,V
6952,p
6953,D
6954,n
6955,I
6956,M
6957,A
6958,E
6959,0
6960,L
6961,E
6962,G
6963,E
6964,0
6965,R
6966,V
6967,A
6968,F
6969,r
6970,R
6971,P
6972,a
6973,L
6974,T
6975,T
6976,N
6977,R
6978,V
6979,I
6980,I
6981,o
6982,R
6983,A
6984,Y
6985,D
6986,H
6987,E
6988,S
6989,E
6990,N
6991,A
6992,A
6993,T
6994,s
6995,N
6996,Z
6997,e
6998,A
6999,L
7000,9
7001,A
7002,I
7003,W
7004,D
7005,V
7006,P
7007,a
7008,E
7009,o
7010,s
7011,M
7012,O
7013,B
7014,O
7015,3
7016,R
7017,i
7018,L
7019,i
7020,A
7021,M
7022,N
7023,O
7024,r
7025,7
7026,R
7027,r
7028,o
7029,S
7030,A
7031,A
7032,T
7033,e
7034,O
7035,A
7036,O
7037,R
7038,U
7039,r
7040,4
7041,N
7042,t
7043,Y
7044,E
7045,E
7046,p
7047,M
7048,o
7049,I
7050,I
7051,O
7052,I
7053,N
7054,A
7055,A
7056,I
7057,n
7058,l
7059,x
7060,T
7061,F
7062,T
7063,e
7064,a
7065,o
7066,s
7067,I
7068,Y
7069,A
7070,i
7071,E
7072,7
7073,S
7074,2
7075,R
7076,N
7077,o
7078,U
7079,C
7080,E
7081,O
7082,I
7083,U
7084,P
7085,L
7086,N
7087,h
7088,l
7089,A
7090,L
7091,R
7092,L
7093,R
7094,A
7095,k
7096,A
7097,O
7098,E
7099,S
7100,n
7101,R
7102,D
7103,L
7104,I
7105,A
7106,I
7107,L
7108,O
7109,N
7110,t
7111,A
7112,Y
7113,C
7114,E
7115,B
7116,R
7117,L
7118,A
7119,4
7120,A
7121,H
7122,A
7123,e
7124,B
7125,S
7126,8
7127,E
7128,A
7129,E
7130,A
7131,n
7132,t
7133,A
7134,N
7135,C
7136,r
7137,q
7138,t
7139,E
7140,l
7141,T
7142,N
7143,R
7144,A
7145,T
7146,A
7147,e
7148,W
7149,D
7150,T
7151,i
7152,E
7153,O
7154,O
7155,A
7156,O
7157,c
7158,I
7159,A
7160,E
7161,P
7162,P
7163,H
7164,Y
7165,A
7166,L
7167,W
7168,E
7169,N
7170,R
7171,O
7172,H
7173,D
7174,J
7175,S
7176,S
7177,R
7178,A
7179,U
7180,h
7181,o
7182,K
7183,A
7184,i
7185,Z
7186,G
7187,S
7188,T
7189,2
7190,H
7191,g
7192,A
7193,i
7194,R
7195,R
7196,D
7197,P
7198,R
7199,o
7200,N
7201,1
7202,N
7203,O
7204,e
7205,A
7206,o
7207,Y
7208,A
7209,N
7210,T
7211,B
7212,N
7213,R
7214,A
7215,H
7216,O
7217,t
7218,g
7219,N
7220,E
7221,A
7222,J
7223,s
7224,A
7225,L
7226,9
7227,O
7228,A
7229,O
7230,Y
7231,5
7232,4
7233,R
7234,D
7235,u
7236,O
7237,I
7238,P
7239,S
7240,R
7241,L
7242,a
7243,M
7244,0
7245,M
7246,9
7247,O
7248,a
7249,O
7250,n
7251,O
7252,E
7253,e
7254,a
7255,A
7256,l
7257,a
7258,N
7259,t
7260,1
7261,O
7262,O
7263,E
7264,e
7265,M
7266,r
7267,S
7268,E
7269,S
7270,E
7271,L
